Subject,Phase,State,Choice,Reward,Stay,Trial,Task,k,t
12,learn,low,1,1,1,13,1,13,51
12,learn,high,1,1,1,12,1,12,53
12,learn,high,1,1,1,13,1,13,55
12,learn,high,1,1,1,14,1,14,57
12,learn,low,1,1,1,14,1,14,59
12,reversal,high,0,0,-1,15,1,15,61
12,reversal,low,0,0,-1,15,1,15,63
12,reversal,high,0,1,1,16,1,16,65
12,reversal,high,0,0,1,17,1,17,67
12,reversal,high,1,0,0,18,1,18,69
12,reversal,low,0,1,1,16,1,16,71
12,reversal,high,1,1,1,19,1,19,73
12,reversal,low,1,1,0,17,1,17,75
12,reversal,low,1,0,1,18,1,18,77
12,reversal,low,1,1,1,19,1,19,79
12,reversal,low,1,0,1,20,1,20,81
12,reversal,high,1,0,1,20,1,20,83
12,reversal,low,1,1,1,21,1,21,85
12,reversal,high,1,1,1,21,1,21,87
12,reversal,low,1,1,1,22,1,22,89
12,reversal,low,1,1,1,23,1,23,91
12,reversal,high,1,1,1,22,1,22,93
12,reversal,low,1,1,1,24,1,24,95
12,reversal,high,1,1,1,23,1,23,97
12,reversal,high,1,1,1,24,1,24,99
12,reversal,low,1,1,1,25,1,25,101
12,reversal,high,1,0,1,25,1,25,103
12,reversal,high,1,1,1,26,1,26,105
12,reversal,low,1,1,1,26,1,26,107
12,reversal,high,1,1,1,27,1,27,109
12,reversal,low,1,1,1,27,1,27,111
12,reversal,high,1,1,1,28,1,28,113
12,reversal,high,1,1,1,29,1,29,115
12,reversal,low,1,1,1,28,1,28,117
12,reversal,low,1,0,1,29,1,29,119
13,learn,low,1,0,-1,0,1,0,1
13,learn,high,1,1,-1,0,1,0,3
13,learn,high,0,0,0,1,1,1,5
13,learn,low,0,0,0,1,1,1,7
13,learn,low,0,0,1,2,1,2,9
13,learn,high,0,0,1,2,1,2,11
13,learn,high,0,0,1,3,1,3,13
13,learn,low,1,1,0,3,1,3,15
13,learn,low,1,1,1,4,1,4,17
13,learn,high,0,1,1,4,1,4,19
13,learn,high,0,0,1,5,1,5,21
13,learn,low,1,1,1,5,1,5,23
13,learn,low,0,1,0,6,1,6,25
13,learn,low,1,1,0,7,1,7,27
13,learn,low,1,1,1,8,1,8,29
13,learn,low,1,0,1,9,1,9,31
13,learn,high,0,0,1,6,1,6,33
13,learn,high,0,0,1,7,1,7,35
13,learn,high,0,0,1,8,1,8,37
13,learn,high,0,1,1,9,1,9,39
13,learn,low,1,1,1,10,1,10,41
13,learn,high,0,1,1,10,1,10,43
13,learn,high,0,0,1,11,1,11,45
13,learn,high,0,0,1,12,1,12,47
13,learn,low,0,0,0,11,1,11,49
13,learn,low,0,1,1,12,1,12,51
13,learn,low,0,0,1,13,1,13,53
13,learn,high,0,0,1,13,1,13,55
13,learn,high,0,0,1,14,1,14,57
13,learn,low,0,0,1,14,1,14,59
13,reversal,low,0,0,-1,15,1,15,61
13,reversal,low,0,0,1,16,1,16,63
13,reversal,high,1,1,-1,15,1,15,65
13,reversal,high,1,1,1,16,1,16,67
13,reversal,low,0,1,1,17,1,17,69
13,reversal,low,0,0,1,18,1,18,71
13,reversal,low,1,1,0,19,1,19,73
13,reversal,high,1,1,1,17,1,17,75
13,reversal,high,1,0,1,18,1,18,77
13,reversal,high,1,1,1,19,1,19,79
13,reversal,low,0,0,0,20,1,20,81
13,reversal,high,1,0,1,20,1,20,83
13,reversal,low,0,0,1,21,1,21,85
